id,title,handle,product_type,vendor,status,published_at,image_url,tags,body_html,created_at,updated_at
1000026,Resort Bikini Top,resort-bikini-top-17,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-bikini-top-17.jpg,"resort-wear,limited,spring-2026",<p>Resort Bikini Top — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000027,Resort Beach Towel,resort-beach-towel-18,Resort Wear,Northwind Co.,active,2026-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/resort-beach-towel-18.jpg,"resort-wear,limited,spring-2026",<p>Resort Beach Towel — part of the Northwind Resort Wear capsule collection.</p>,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
1000028,Heritage Jacket,heritage-jacket,Outerwear,Northwind Co.,active,2024-10-12T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket.jpg,"outerwear,jackets",<p>The Heritage Jacket by Northwind Co.</p>,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000029,Classic Jacket 2,classic-jacket-2,Outerwear,Northwind Co.,active,2024-12-04T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-2.jpg,"outerwear,jackets",<p>The Classic Jacket 2 by Northwind Co.</p>,2024-12-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000030,Field Jacket 3,field-jacket-3,Outerwear,Northwind Co.,active,2022-10-23T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-3.jpg,"outerwear,jackets",<p>The Field Jacket 3 by Northwind Co.</p>,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000031,Trail Jacket 4,trail-jacket-4,Outerwear,Northwind Co.,active,2024-10-01T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-4.jpg,"outerwear,jackets",<p>The Trail Jacket 4 by Northwind Co.</p>,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000032,Summit Jacket 5,summit-jacket-5,Outerwear,Northwind Co.,active,2023-06-02T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-5.jpg,"outerwear,jackets",<p>The Summit Jacket 5 by Northwind Co.</p>,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000033,Urban Jacket 6,urban-jacket-6,Outerwear,Northwind Co.,active,2023-03-26T00:00:00+00:00,https://cdn.northwindco.com/products/urban-jacket-6.jpg,"outerwear,jackets",<p>The Urban Jacket 6 by Northwind Co.</p>,2023-03-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000034,Pacific Jacket 7,pacific-jacket-7,Outerwear,Northwind Co.,active,2024-11-26T00:00:00+00:00,https://cdn.northwindco.com/products/pacific-jacket-7.jpg,"outerwear,jackets",<p>The Pacific Jacket 7 by Northwind Co.</p>,2024-11-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000035,Alpine Jacket 8,alpine-jacket-8,Outerwear,Northwind Co.,active,2023-09-07T00:00:00+00:00,https://cdn.northwindco.com/products/alpine-jacket-8.jpg,"outerwear,jackets",<p>The Alpine Jacket 8 by Northwind Co.</p>,2023-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000036,Heritage Jacket 9,heritage-jacket-9,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket-9.jpg,"outerwear,jackets",<p>The Heritage Jacket 9 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000037,Classic Jacket 10,classic-jacket-10,Outerwear,Northwind Co.,active,2024-11-13T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-10.jpg,"outerwear,jackets",<p>The Classic Jacket 10 by Northwind Co.</p>,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000038,Field Jacket 11,field-jacket-11,Outerwear,Northwind Co.,active,2023-10-15T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-11.jpg,"outerwear,jackets",<p>The Field Jacket 11 by Northwind Co.</p>,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000039,Trail Jacket 12,trail-jacket-12,Outerwear,Northwind Co.,active,2023-02-12T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-12.jpg,"outerwear,jackets",<p>The Trail Jacket 12 by Northwind Co.</p>,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000040,Summit Jacket 13,summit-jacket-13,Outerwear,Northwind Co.,active,2022-12-17T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-13.jpg,"outerwear,jackets",<p>The Summit Jacket 13 by Northwind Co.</p>,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000041,Urban Jacket 14,urban-jacket-14,Outerwear,Northwind Co.,active,2023-04-06T00:00:00+00:00,https://cdn.northwindco.com/products/urban-jacket-14.jpg,"outerwear,jackets",<p>The Urban Jacket 14 by Northwind Co.</p>,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000042,Pacific Jacket 15,pacific-jacket-15,Outerwear,Northwind Co.,active,2024-02-20T00:00:00+00:00,https://cdn.northwindco.com/products/pacific-jacket-15.jpg,"outerwear,jackets",<p>The Pacific Jacket 15 by Northwind Co.</p>,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000043,Alpine Jacket 16,alpine-jacket-16,Outerwear,Northwind Co.,active,2024-09-23T00:00:00+00:00,https://cdn.northwindco.com/products/alpine-jacket-16.jpg,"outerwear,jackets",<p>The Alpine Jacket 16 by Northwind Co.</p>,2024-09-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000044,Heritage Jacket 17,heritage-jacket-17,Outerwear,Northwind Co.,active,2022-09-07T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket-17.jpg,"outerwear,jackets",<p>The Heritage Jacket 17 by Northwind Co.</p>,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000045,Classic Jacket 18,classic-jacket-18,Outerwear,Northwind Co.,active,2024-06-02T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-18.jpg,"outerwear,jackets",<p>The Classic Jacket 18 by Northwind Co.</p>,2024-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000046,Field Jacket 19,field-jacket-19,Outerwear,Northwind Co.,active,2024-04-12T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-19.jpg,"outerwear,jackets",<p>The Field Jacket 19 by Northwind Co.</p>,2024-04-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000047,Trail Jacket 20,trail-jacket-20,Outerwear,Northwind Co.,active,2022-08-21T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-20.jpg,"outerwear,jackets",<p>The Trail Jacket 20 by Northwind Co.</p>,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000048,Summit Jacket 21,summit-jacket-21,Outerwear,Northwind Co.,active,2023-02-11T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-21.jpg,"outerwear,jackets",<p>The Summit Jacket 21 by Northwind Co.</p>,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000049,Urban Jacket 22,urban-jacket-22,Outerwear,Northwind Co.,active,2023-05-21T00:00:00+00:00,https://cdn.northwindco.com/products/urban-jacket-22.jpg,"outerwear,jackets",<p>The Urban Jacket 22 by Northwind Co.</p>,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000050,Pacific Jacket 23,pacific-jacket-23,Outerwear,Northwind Co.,active,2024-09-18T00:00:00+00:00,https://cdn.northwindco.com/products/pacific-jacket-23.jpg,"outerwear,jackets",<p>The Pacific Jacket 23 by Northwind Co.</p>,2024-09-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000051,Alpine Jacket 24,alpine-jacket-24,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/alpine-jacket-24.jpg,"outerwear,jackets",<p>The Alpine Jacket 24 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000052,Heritage Jacket 25,heritage-jacket-25,Outerwear,Northwind Co.,active,2024-09-04T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket-25.jpg,"outerwear,jackets",<p>The Heritage Jacket 25 by Northwind Co.</p>,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000053,Classic Jacket 26,classic-jacket-26,Outerwear,Northwind Co.,active,2022-11-11T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-26.jpg,"outerwear,jackets",<p>The Classic Jacket 26 by Northwind Co.</p>,2022-11-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000054,Field Jacket 27,field-jacket-27,Outerwear,Northwind Co.,active,2024-02-12T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-27.jpg,"outerwear,jackets",<p>The Field Jacket 27 by Northwind Co.</p>,2024-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000055,Trail Jacket 28,trail-jacket-28,Outerwear,Northwind Co.,active,2023-10-04T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-28.jpg,"outerwear,jackets",<p>The Trail Jacket 28 by Northwind Co.</p>,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000056,Summit Jacket 29,summit-jacket-29,Outerwear,Northwind Co.,active,2023-12-27T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-29.jpg,"outerwear,jackets",<p>The Summit Jacket 29 by Northwind Co.</p>,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000057,Urban Jacket 30,urban-jacket-30,Outerwear,Northwind Co.,active,2024-07-22T00:00:00+00:00,https://cdn.northwindco.com/products/urban-jacket-30.jpg,"outerwear,jackets",<p>The Urban Jacket 30 by Northwind Co.</p>,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000058,Pacific Jacket 31,pacific-jacket-31,Outerwear,Northwind Co.,active,2023-06-18T00:00:00+00:00,https://cdn.northwindco.com/products/pacific-jacket-31.jpg,"outerwear,jackets",<p>The Pacific Jacket 31 by Northwind Co.</p>,2023-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000059,Alpine Jacket 32,alpine-jacket-32,Outerwear,Northwind Co.,active,2023-10-04T00:00:00+00:00,https://cdn.northwindco.com/products/alpine-jacket-32.jpg,"outerwear,jackets",<p>The Alpine Jacket 32 by Northwind Co.</p>,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000060,Heritage Jacket 33,heritage-jacket-33,Outerwear,Northwind Co.,active,2023-11-25T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket-33.jpg,"outerwear,jackets",<p>The Heritage Jacket 33 by Northwind Co.</p>,2023-11-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000061,Classic Jacket 34,classic-jacket-34,Outerwear,Northwind Co.,active,2023-03-14T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-34.jpg,"outerwear,jackets",<p>The Classic Jacket 34 by Northwind Co.</p>,2023-03-14T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000062,Field Jacket 35,field-jacket-35,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-35.jpg,"outerwear,jackets",<p>The Field Jacket 35 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000063,Trail Jacket 36,trail-jacket-36,Outerwear,Northwind Co.,active,2023-03-15T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-36.jpg,"outerwear,jackets",<p>The Trail Jacket 36 by Northwind Co.</p>,2023-03-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000064,Summit Jacket 37,summit-jacket-37,Outerwear,Northwind Co.,active,2024-11-01T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-37.jpg,"outerwear,jackets",<p>The Summit Jacket 37 by Northwind Co.</p>,2024-11-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000065,Urban Jacket 38,urban-jacket-38,Outerwear,Northwind Co.,active,2022-12-07T00:00:00+00:00,https://cdn.northwindco.com/products/urban-jacket-38.jpg,"outerwear,jackets",<p>The Urban Jacket 38 by Northwind Co.</p>,2022-12-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000066,Pacific Jacket 39,pacific-jacket-39,Outerwear,Northwind Co.,active,2022-11-08T00:00:00+00:00,https://cdn.northwindco.com/products/pacific-jacket-39.jpg,"outerwear,jackets",<p>The Pacific Jacket 39 by Northwind Co.</p>,2022-11-08T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000067,Alpine Jacket 40,alpine-jacket-40,Outerwear,Northwind Co.,active,2024-07-24T00:00:00+00:00,https://cdn.northwindco.com/products/alpine-jacket-40.jpg,"outerwear,jackets",<p>The Alpine Jacket 40 by Northwind Co.</p>,2024-07-24T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000068,Heritage Jacket 41,heritage-jacket-41,Outerwear,Northwind Co.,active,2022-08-05T00:00:00+00:00,https://cdn.northwindco.com/products/heritage-jacket-41.jpg,"outerwear,jackets",<p>The Heritage Jacket 41 by Northwind Co.</p>,2022-08-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000069,Classic Jacket 42,classic-jacket-42,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/classic-jacket-42.jpg,"outerwear,jackets",<p>The Classic Jacket 42 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000070,Field Jacket 43,field-jacket-43,Outerwear,Northwind Co.,active,2024-12-10T00:00:00+00:00,https://cdn.northwindco.com/products/field-jacket-43.jpg,"outerwear,jackets",<p>The Field Jacket 43 by Northwind Co.</p>,2024-12-10T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000071,Trail Jacket 44,trail-jacket-44,Outerwear,Northwind Co.,active,2024-02-21T00:00:00+00:00,https://cdn.northwindco.com/products/trail-jacket-44.jpg,"outerwear,jackets",<p>The Trail Jacket 44 by Northwind Co.</p>,2024-02-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000072,Summit Jacket 45,summit-jacket-45,Outerwear,Northwind Co.,active,2024-01-04T00:00:00+00:00,https://cdn.northwindco.com/products/summit-jacket-45.jpg,"outerwear,jackets",<p>The Summit Jacket 45 by Northwind Co.</p>,2024-01-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000073,Wool Coat,wool-coat,Outerwear,Northwind Co.,active,2022-10-16T00:00:00+00:00,https://cdn.northwindco.com/products/wool-coat.jpg,"outerwear,coats",<p>The Wool Coat by Northwind Co.</p>,2022-10-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000074,Cashmere Coat 2,cashmere-coat-2,Outerwear,Northwind Co.,active,2024-08-08T00:00:00+00:00,https://cdn.northwindco.com/products/cashmere-coat-2.jpg,"outerwear,coats",<p>The Cashmere Coat 2 by Northwind Co.</p>,2024-08-08T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000075,Merino Coat 3,merino-coat-3,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/merino-coat-3.jpg,"outerwear,coats",<p>The Merino Coat 3 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000076,Oversize Coat 4,oversize-coat-4,Outerwear,Northwind Co.,active,2024-03-25T00:00:00+00:00,https://cdn.northwindco.com/products/oversize-coat-4.jpg,"outerwear,coats",<p>The Oversize Coat 4 by Northwind Co.</p>,2024-03-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000077,Tailored Coat 5,tailored-coat-5,Outerwear,Northwind Co.,active,2022-12-16T00:00:00+00:00,https://cdn.northwindco.com/products/tailored-coat-5.jpg,"outerwear,coats",<p>The Tailored Coat 5 by Northwind Co.</p>,2022-12-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000078,Belted Coat 6,belted-coat-6,Outerwear,Northwind Co.,active,2024-02-23T00:00:00+00:00,https://cdn.northwindco.com/products/belted-coat-6.jpg,"outerwear,coats",<p>The Belted Coat 6 by Northwind Co.</p>,2024-02-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000079,Wool Coat 7,wool-coat-7,Outerwear,Northwind Co.,active,2024-06-15T00:00:00+00:00,https://cdn.northwindco.com/products/wool-coat-7.jpg,"outerwear,coats",<p>The Wool Coat 7 by Northwind Co.</p>,2024-06-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000080,Cashmere Coat 8,cashmere-coat-8,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/cashmere-coat-8.jpg,"outerwear,coats",<p>The Cashmere Coat 8 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000081,Merino Coat 9,merino-coat-9,Outerwear,Northwind Co.,active,2023-01-08T00:00:00+00:00,https://cdn.northwindco.com/products/merino-coat-9.jpg,"outerwear,coats",<p>The Merino Coat 9 by Northwind Co.</p>,2023-01-08T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000082,Oversize Coat 10,oversize-coat-10,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/oversize-coat-10.jpg,"outerwear,coats",<p>The Oversize Coat 10 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000083,Tailored Coat 11,tailored-coat-11,Outerwear,Northwind Co.,active,2022-12-15T00:00:00+00:00,https://cdn.northwindco.com/products/tailored-coat-11.jpg,"outerwear,coats",<p>The Tailored Coat 11 by Northwind Co.</p>,2022-12-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000084,Belted Coat 12,belted-coat-12,Outerwear,Northwind Co.,active,2023-10-23T00:00:00+00:00,https://cdn.northwindco.com/products/belted-coat-12.jpg,"outerwear,coats",<p>The Belted Coat 12 by Northwind Co.</p>,2023-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000085,Wool Coat 13,wool-coat-13,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/wool-coat-13.jpg,"outerwear,coats",<p>The Wool Coat 13 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000086,Cashmere Coat 14,cashmere-coat-14,Outerwear,Northwind Co.,active,2024-05-22T00:00:00+00:00,https://cdn.northwindco.com/products/cashmere-coat-14.jpg,"outerwear,coats",<p>The Cashmere Coat 14 by Northwind Co.</p>,2024-05-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000087,Merino Coat 15,merino-coat-15,Outerwear,Northwind Co.,active,2022-12-05T00:00:00+00:00,https://cdn.northwindco.com/products/merino-coat-15.jpg,"outerwear,coats",<p>The Merino Coat 15 by Northwind Co.</p>,2022-12-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000088,Oversize Coat 16,oversize-coat-16,Outerwear,Northwind Co.,active,2024-05-15T00:00:00+00:00,https://cdn.northwindco.com/products/oversize-coat-16.jpg,"outerwear,coats",<p>The Oversize Coat 16 by Northwind Co.</p>,2024-05-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000089,Tailored Coat 17,tailored-coat-17,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/tailored-coat-17.jpg,"outerwear,coats",<p>The Tailored Coat 17 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000090,Belted Coat 18,belted-coat-18,Outerwear,Northwind Co.,active,2023-07-07T00:00:00+00:00,https://cdn.northwindco.com/products/belted-coat-18.jpg,"outerwear,coats",<p>The Belted Coat 18 by Northwind Co.</p>,2023-07-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000091,Wool Coat 19,wool-coat-19,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/wool-coat-19.jpg,"outerwear,coats",<p>The Wool Coat 19 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000092,Cashmere Coat 20,cashmere-coat-20,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/cashmere-coat-20.jpg,"outerwear,coats",<p>The Cashmere Coat 20 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000093,Merino Coat 21,merino-coat-21,Outerwear,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/merino-coat-21.jpg,"outerwear,coats",<p>The Merino Coat 21 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000094,Oversize Coat 22,oversize-coat-22,Outerwear,Northwind Co.,active,2024-03-25T00:00:00+00:00,https://cdn.northwindco.com/products/oversize-coat-22.jpg,"outerwear,coats",<p>The Oversize Coat 22 by Northwind Co.</p>,2024-03-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
